date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2022-03-26,PI,Acauã,city,228,2,True,7102,2200053,3210.36328,0.0088
2022-03-26,PI,Agricolândia,city,829,10,True,5131,2200103,16156.6946,0.0121
2022-03-26,PI,Água Branca,city,1702,77,True,17470,2200202,9742.41557,0.0452
2022-03-26,PI,Alagoinha do Piauí,city,402,13,True,7665,2200251,5244.6184,0.0323
2022-03-26,PI,Alegrete do Piauí,city,553,9,True,4918,2200277,11244.4083,0.0163
2022-03-26,PI,Alto Longá,city,858,15,True,14339,2200301,5983.68087,0.0175
2022-03-26,PI,Altos,city,5568,107,True,40605,2200400,13712.59697,0.0192
2022-03-26,PI,Alvorada do Gurguéia,city,709,14,True,5445,2200459,13021.12029,0.0197
2022-03-26,PI,Amarante,city,1736,36,True,17604,2200509,9861.39514,0.0207
2022-03-26,PI,Angical do Piauí,city,901,12,True,6783,2200608,13283.20802,0.0133
2022-03-26,PI,Anísio de Abreu,city,291,15,True,9938,2200707,2928.15456,0.0515
2022-03-26,PI,Antônio Almeida,city,409,11,True,3170,2200806,12902.2082,0.0269
2022-03-26,PI,Aroazes,city,699,15,True,5827,2200905,11995.88124,0.0215
2022-03-26,PI,Aroeiras do Itaim,city,188,2,True,2551,2200954,7369.65896,0.0106
2022-03-26,PI,Arraial,city,172,3,True,4720,2201002,3644.0678,0.0174
2022-03-26,PI,Assunção do Piauí,city,410,10,True,7863,2201051,5214.2948,0.0244
2022-03-26,PI,Avelino Lopes,city,527,23,True,11326,2201101,4653.01077,0.0436
2022-03-26,PI,Baixa Grande do Ribeiro,city,2672,36,True,11671,2201150,22894.35353,0.0135
2022-03-26,PI,Barra D'Alcântara,city,156,5,True,3952,2201176,3947.36842,0.0321
2022-03-26,PI,Barras,city,5936,105,True,47185,2201200,12580.26915,0.0177
2022-03-26,PI,Barreiras do Piauí,city,114,4,True,3352,2201309,3400.95465,0.0351
2022-03-26,PI,Barro Duro,city,810,12,True,7027,2201408,11526.96741,0.0148
2022-03-26,PI,Batalha,city,1453,40,True,26905,2201507,5400.48318,0.0275
2022-03-26,PI,Bela Vista do Piauí,city,324,7,True,4030,2201556,8039.70223,0.0216
2022-03-26,PI,Belém do Piauí,city,624,8,True,3587,2201572,17396.15277,0.0128
2022-03-26,PI,Beneditinos,city,1474,41,True,10473,2201606,14074.28626,0.0278
