date,city,confirmed,deaths,estimated_population,confirmed_per_100k_inhabitants,death_rate,pib_per_capita,n_vaccinations,demographic_density,vaccinated,vaccinated_per_100k_inhabitants
2021-08-22,AGUA BRANCA,1129,14,10306,10954.7836,0.0124,8074.16,6754,39.94,5173,50194.061711624294
2021-08-22,AGUIAR,528,5,5630,9378.3304,0.0095,8897.54,3790,16.04,2903,51563.05506216696
2021-08-22,ALAGOA GRANDE,4119,72,28439,14483.6316,0.0175,9699.38,21931,88.84,16318,57378.95143992405
2021-08-22,ALAGOA NOVA,1528,26,20921,7303.6662,0.0170,15631.55,14518,160.98,11036,52750.82453037617
2021-08-22,ALAGOINHA,2072,25,14560,14230.7692,0.0121,7934.57,9389,139.99,7282,50013.73626373626
2021-08-22,ALCANTIL,677,7,5509,12288.9817,0.0103,7977.88,3884,17.15,2989,54256.6709021601
2021-08-22,ALGODAO DE JANDAIRA,251,1,2577,9740.0078,0.0040,9942.99,2168,10.74,1665,64610.01164144354
2021-08-22,ALHANDRA,2428,36,19727,12308.0043,0.0148,96064.51,12707,98.58,10200,51705.78395093019
2021-08-22,AMPARO,178,4,2251,7907.5966,0.0225,11708.73,2054,17.12,1508,66992.44780097734
2021-08-22,APARECIDA,988,14,8416,11739.5437,0.0142,10235.09,6050,25.96,4582,54443.916349809886
2021-08-22,ARACAGI,1676,24,16921,9904.8520,0.0143,9597.66,11046,74.51,8559,50582.11689616453
2021-08-22,ARARA,1042,29,13542,7694.5798,0.0278,7615.79,8300,127.66,6242,46093.63461822478
2021-08-22,ARARUNA,705,17,20463,3445.2426,0.0241,8514.80,11636,76.83,8992,43942.72589551874
2021-08-22,AREIA,1972,31,22656,8704.0960,0.0157,10037.35,18036,88.42,13405,59167.549435028246
2021-08-22,AREIA DE BARAUNAS,220,4,2116,10396.9754,0.0182,9669.46,1613,20.00,1187,56096.40831758034
2021-08-22,AREIAL,374,12,7027,5322.3282,0.0321,7830.13,5359,195.22,4089,58189.8391916892
2021-08-22,AROEIRAS,1917,16,19116,10028.2486,0.0083,7633.56,13925,50.93,10533,55100.439422473326
2021-08-22,ASSUNCAO,415,5,4029,10300.3227,0.0120,9841.79,3093,27.86,2344,58178.207992057585
2021-08-22,BAIA DA TRAICAO,1312,12,9096,14423.9226,0.0091,9890.37,6752,78.27,5285,58102.46262093228
2021-08-22,BANANEIRAS,1535,27,21269,7217.0765,0.0176,10998.30,16432,84.72,12515,58841.506417791155
2021-08-22,BARAUNA,696,9,4964,14020.9508,0.0129,9088.23,3650,83.43,2741,55217.56647864625
2021-08-22,BARRA DE SANTANA,649,7,8349,7773.3860,0.0108,9266.71,6268,21.77,4704,56342.07689543658
2021-08-22,BARRA DE SANTA ROSA,1712,12,15497,11047.2995,0.0070,8735.13,9696,18.25,7349,47422.081693230946
2021-08-22,BARRA DE SAO MIGUEL,638,7,6065,10519.3735,0.0110,10806.70,4663,9.43,3472,57246.49629018961
2021-08-22,BAYEUX,8146,249,97203,8380.3998,0.0306,14346.61,55474,3118.76,44562,45844.26406592389
2021-08-22,BELEM,2407,45,17705,13595.0297,0.0187,10752.78,12141,170.67,9267,52341.146568765886
2021-08-22,BELEM DO BREJO DO CRUZ,533,5,7349,7252.6874,0.0094,9302.20,4361,11.84,3372,45883.7937134304
2021-08-22,BERNARDINO BATISTA,307,1,3536,8682.1267,0.0033,10342.92,2512,60.74,1910,54015.837104072394
2021-08-22,BOA VENTURA,766,12,5307,14433.7667,0.0157,8230.02,4079,33.71,3038,57245.147917844355
2021-08-22,BOA VISTA,850,15,7136,11911.4350,0.0176,20544.17,5367,13.07,3928,55044.843049327355
2021-08-22,BOM JESUS,192,3,2575,7456.3107,0.0156,11480.13,1987,50.39,1438,55844.66019417476
2021-08-22,BOM SUCESSO,502,4,4956,10129.1364,0.0080,8532.14,4230,27.35,3031,61158.19209039548
2021-08-22,BONITO DE SANTA FE,557,14,12022,4633.1725,0.0251,7954.43,6875,47.32,5303,44110.7968724006
