cidade, den_demografica
Água Branca, 39.94
Aguiar, 16.04
Alagoa Grande, 88.84
Alagoa Nova, 160.98
Alagoinha, 139.99
Alcantil, 17.15
Algodão de Jandaíra, 10.74
Alhandra, 98.58
Amparo, 17.12
Aparecida, 25.96
Araçagi, 74.51
Arara, 127.66
Araruna, 76.83
Areia, 88.42
Areia de Baraúnas, 20.00
Areial, 195.22
Aroeiras, 50.93
Assunção, 27.86
Baía da Traição, 78.27
Bananeiras, 84.72
Baraúna, 83.43
Barra de Santa Rosa, 18.25
Barra de Santana, 21.77
Barra de São Miguel, 9.43
Bayeux, 3118.76
Belém, 170.67
Belém do Brejo do Cruz, 11.84
Bernardino Batista, 60.74
Boa Ventura, 33.71
Boa Vista, 13.07
Bom Jesus, 50.39
Bom Sucesso, 27.35
Bonito de Santa Fé, 47.32
Boqueirão, 45.40
Borborema, 196.74
Brejo do Cruz, 32.90
Brejo dos Santos, 66.04
Caaporã, 135.59
Cabaceiras, 11.12
Cabedelo, 1815.57
Cachoeira dos Índios, 49.44
Cacimba de Areia, 16.14
Cacimba de Dentro, 102.32
Cacimbas, 53.85
Caiçara, 56.44
Cajazeiras, 103.28
Cajazeirinhas, 10.54
Caldas Brandão, 100.92
Camalaú, 10.57
Campina Grande, 648.31
Capim, 71.65
Caraúbas, 7.84
Carrapateira, 43.61
Casserengue, 35.05
Catingueira, 9.09
Catolé do Rocha, 52.09
Caturité, 38.47
Conceição, 31.69
Condado, 23.44
Conde, 123.74
Congo, 14.06
Coremas, 39.92
Coxixola, 10.43
Cruz do Espírito Santo, 83.12
Cubati, 50.13
Cuité, 26.93
Cuité de Mamanguape, 57.19
Cuitegi, 175.28
Curral de Cima, 61.21
Curral Velho, 11.24
Damião, 26.39
Desterro, 44.55
Diamante, 24.58
Dona Inês, 63.29
Duas Estradas, 138.53
Emas, 13.77
Esperança, 189.86
Fagundes, 60.34
Frei Martinho, 12.00
Gado Bravo, 43.53
Guarabira, 333.80
Gurinhém, 40.08
Gurjão, 9.20
Ibiara, 24.67
Igaracy, 32.02
Imaculada, 35.81
Ingá, 63.13
Itabaiana, 111.86
Itaporanga, 49.55
Itapororoca, 116.36
Itatuba, 41.77
Jacaraú, 55.10
Jericó, 42.04
João Pessoa, 3421.28
Joca Claudino, 35.33
Juarez Távora, 105.29
Juazeirinho, 35.88
Junco do Seridó, 38.98
Juripiranga, 129.84
Juru, 24.37
Lagoa, 26.31
Lagoa de Dentro, 87.21
Lagoa Seca, 240.73
Lastro, 27.67
Livramento, 27.53
Logradouro, 103.75
Lucena, 131.88
Mãe d'Água, 16.49
Malta, 35.93
Mamanguape, 124.23
Manaíra, 30.52
Marcação, 61.91
Mari, 136.77
Marizópolis, 97.04
Massaranduba, 62.64
Mataraca, 40.19
Matinhas, 113.34
Mato Grosso, 32.35
Maturéia, 70.97
Mogeiro, 64.41
Montadas, 157.97
Monte Horebe, 38.80
Monteiro, 31.28
Mulungu, 48.48
Natuba, 51.53
Nazarezinho, 38.02
Nova Floresta, 222.31
Nova Olinda, 72.04
Nova Palmeira, 14.05
Olho d'Água, 11.63
Olivedos, 11.41
Ouro Velho, 22.63
Parari, 9.78
Passagem, 19.96
Patos, 212.82
Paulista, 20.43
Pedra Branca, 32.95
Pedra Lavrada, 21.26
Pedras de Fogo, 67.51
Pedro Régis, 78.37
Piancó, 27.38
Picuí, 27.54
Pilar, 109.29
Pilões, 108.28
Pilõezinhos, 117.42
Pirpirituba, 129.33
Pitimbu, 124.78
Pocinhos, 27.12
Poço Dantas, 38.57
Poço de José de Moura, 39.40
Pombal, 36.13
Prata, 20.07
Princesa Isabel, 57.84
Puxinanã, 177.81
Queimadas, 102.17
Quixaba, 10.84
Remígio, 98.77
Riachão, 36.23
Riachão do Bacamarte, 111.13
Riachão do Poço, 104.35
Riacho de Santo Antônio, 18.86
Riacho dos Cavalos, 31.49
Rio Tinto, 49.42
Salgadinho, 19.04
Salgado de São Félix, 59.33
Santa Cecília, 29.22
Santa Cruz, 30.79
Santa Helena, 25.53
Santa Inês, 10.91
Santa Luzia, 32.30
Santa Rita, 165.52
Santa Teresinha, 12.80
Santana de Mangueira, 13.26
Santana dos Garrotes, 20.54
Santo André, 11.72
São Bentinho, 21.12
São Bento, 124.41
São Domingos, 16.88
São Domingos do Cariri, 11.06
São Francisco, 35.39
São João do Cariri, 6.65
São João do Rio do Peixe, 38.36
São João do Tigre, 5.39
São José da Lagoa Tapada, 22.13
São José de Caiana, 34.08
São José de Espinharas, 6.56
São José de Piranhas, 28.19
São José de Princesa, 26.70
São José do Bonfim, 24.00
São José do Brejo do Cruz, 6.66
São José do Sabugi, 19.38
São José dos Cordeiros, 9.54
São José dos Ramos, 56.07
São Mamede, 14.60
São Miguel de Taipu, 72.37
São Sebastião de Lagoa de Roça, 221.16
São Sebastião do Umbuzeiro, 7.02
Sapé, 158.92
São Vicente do Seridó, 37.00
Serra Branca, 18.89
Serra da Raiz, 110.17
Serra Grande, 35.64
Serra Redonda, 126.11
Serraria, 95.53
Sertãozinho, 134.00
Sobrado, 119.41
Solânea, 115.01
Soledade, 24.53
Sossêgo, 20.48
Sousa, 89.10
Sumé, 19.16
Tacima, 41.60
Taperoá, 22.53
Tavares, 59.42
Teixeira, 87.96
Tenório, 26.72
Triunfo, 41.93
Uiraúna, 49.52
Umbuzeiro, 51.28
Várzea, 13.15
Vieirópolis, 34.37
Vista Serrana, 57.24
Zabelê, 18.97
